Level,Faculty,Program,Admission Fee,Misc. (Per Semester),Number of Semesters,Tuition Fee (1st Semester),Total Fee
Undergraduate,Business & Management Sciences,BBA (Hons.),"PKR 20,000","PKR 7,500",8,"PKR 158,500","PKR 1,348,000"
Undergraduate,Business & Management Sciences,BS Aviation Management,"PKR 20,000","PKR 7,500",8,"PKR 148,000","PKR 1,264,000"
Undergraduate,Business & Management Sciences,BS Hospitality and Tourism Management,"PKR 20,000","PKR 7,500",8,"PKR 117,000","PKR 1,016,000"
Undergraduate,Business & Management Sciences,BS Business Intelligence,"PKR 20,000","PKR 7,500",8,"PKR 116,500","PKR 1,012,000"
Undergraduate,Business & Management Sciences,BS Digital Marketing,"PKR 20,000","PKR 7,500",8,"PKR 115,000","PKR 1,000,000"
Undergraduate,Business & Management Sciences,BS Culinary Arts and Management,"PKR 20,000","PKR 7,500",8,"PKR 148,000","PKR 1,264,000"
Undergraduate,Economics & Commerce,BS Commerce,"PKR 15,000","PKR 7,500",8,"PKR 85,500","PKR 759,000"
Undergraduate,Economics & Commerce,BS Accounting and Finance,"PKR 20,000","PKR 7,500",8,"PKR 123,000","PKR 1,064,000"
Undergraduate,Economics & Commerce,BS Economics with Data Sciences,"PKR 20,000","PKR 7,500",8,"PKR 85,500","PKR 764,000"
Undergraduate,Economics & Commerce,BS E-Commerce,"PKR 20,000","PKR 7,500",8,"PKR 85,500","PKR 764,000"
Undergraduate,Economics & Commerce,BS FinTech,"PKR 20,000","PKR 7,500",8,"PKR 85,500","PKR 764,000"
Undergraduate,Economics & Commerce,BS Islamic Banking and Finance,"PKR 20,000","PKR 7,500",8,"PKR 85,500","PKR 764,000"
Undergraduate,Computer Science & IT,BS Computer Science,"PKR 20,000","PKR 7,500",8,"PKR 175,500","PKR 1,484,000"
Undergraduate,Computer Science & IT,BS Information Technology,"PKR 20,000","PKR 7,500",8,"PKR 149,000","PKR 1,272,000"
Undergraduate,Computer Science & IT,BS Software Engineering,"PKR 20,000","PKR 7,500",8,"PKR 163,000","PKR 1,384,000"
Undergraduate,Computer Science & IT,BS Data Science,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Artificial Intelligence,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Cyber Security,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Internet of Things,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Robotics,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Gaming and Animation,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Electronics and Computing,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Computer Science & IT,BS Applied Computing,"PKR 20,000","PKR 7,500",8,"PKR 144,000","PKR 1,232,000"
Undergraduate,Sciences,BS Biochemistry,"PKR 20,000","PKR 7,500",8,"PKR 100,000","PKR 880,000"
Undergraduate,Sciences,BS Microbiology,"PKR 20,000","PKR 7,500",8,"PKR 100,000","PKR 880,000"
