category,sub_category,feature,details
Accommodation,Boys & Girls,Separate Hostels,Yes (separate hostels for boys and girls)
Rooms,Facilities,Fully Furnished,Beds, study desks, chairs, wardrobes included
Security,Safety,24/7 Security,Continuous surveillance and security system
Internet,Connectivity,Wi-Fi,High-speed internet available throughout hostel
Maintenance,Services,Housekeeping,Regular cleaning of rooms and common areas
Laundry,Services,Laundry Facility,On-site laundry service available
Food,Dining,Mess Services,Hygienic meals with varied menu options
Food,Dining,Tuck Shop,On-campus shop for snacks and daily essentials
Health,Medical,Clinic,On-campus health care and consultation facility
Finance,Banking,ATM,On-campus ATM available for students
Recreation,Leisure,Common Rooms,Indoor games and entertainment spaces available
Location,Nearby Area,Lake City,Nearby recreational area with shops, restaurants, parks
